timestamp,open,high,low,close,volume,trades,price_change_pct,volume_ma,volume_ratio,is_pump_dump
2023-07-06,0.4777,0.4842,0.4612,0.4622,304125111.0,146023,,,,0
2023-07-07,0.4622,0.4708,0.4575,0.4687,230688947.0,98575,,,,0
2023-07-08,0.4686,0.4748,0.4649,0.4704,116031881.0,67003,,,,0
2023-07-09,0.4705,0.4717,0.4664,0.468,80147955.0,49473,,,,0
2023-07-10,0.4681,0.48,0.4622,0.478,334545737.0,128843,,,,0
2023-07-11,0.478,0.4784,0.4709,0.4753,225681776.0,91922,,,,0
2023-07-12,0.4753,0.4772,0.4648,0.471,220670755.0,92981,,215984594.57142857,1.02169673461142,0
2023-07-13,0.471,0.938,0.4695,0.8153,2499971165.0,2895839,0.7639549978364344,529676888.0,4.719804132741393,1
2023-07-14,0.8151,0.8253,0.6686,0.7179,1525175518.0,1488766,0.5316833795604865,714603541.0,2.134296054376814,0
2023-07-15,0.7178,0.7362,0.6919,0.7145,703355719.0,570922,0.518920068027211,798506946.4285715,0.8808385727210665,0
2023-07-16,0.7144,0.79,0.702,0.7468,946644269.0,702277,0.5957264957264956,922292134.1428572,1.0264039277313959,0
2023-07-17,0.7468,0.7662,0.7122,0.7374,608872143.0,558954,0.5426778242677825,961481620.7142857,0.6332644638050057,0
2023-07-18,0.7373,0.785,0.7304,0.7779,598030609.0,509457,0.6366505365032611,1014674311.1428572,0.5893818365485382,0
2023-07-19,0.778,0.8547,0.7685,0.8199,913495953.0,802098,0.740764331210191,1113649339.4285715,0.8202725226494788,0
2023-07-20,0.8198,0.8489,0.771,0.7942,643507521.0,611114,-0.025880044155525583,848440247.4285715,0.7584594471447156,0
2023-07-21,0.7942,0.7987,0.7601,0.7713,411233974.0,365226,0.0743836188884246,689305741.1428572,0.5965915405233403,0
2023-07-22,0.7713,0.7799,0.7215,0.7331,324984749.0,276750,0.026032190342897055,635252745.4285715,0.5115833836825844,0
2023-07-23,0.733,0.7525,0.7149,0.7384,293811431.0,238690,-0.011247991430101911,541990911.4285715,0.5420966012614055,0
2023-07-24,0.7384,0.743,0.6808,0.7021,513611905.0,396133,-0.04787089774884745,528382306.0,0.9720459961806518,0
2023-07-25,0.702,0.7163,0.6743,0.7089,393523223.0,298525,-0.08870034708831476,499166965.14285713,0.7883599085676216,0
2023-07-26,0.709,0.7313,0.6927,0.7161,369415295.0,285830,-0.12660080497621662,421441156.85714287,0.8765524889758732,0
2023-07-27,0.7161,0.7328,0.7061,0.7139,312450860.0,234866,-0.10110803324099726,374147348.14285713,0.8351010946647144,0
